title,abstract,pubYear,targets,normalized_text
m6A methylation - a new target of metabolic diseases induced by environmental pollutants.,"Exposure to environmental pollutants is closely associated with the development of obesity and related metabolic diseases. As the most prevalent form of eukaryotic chemical modification, N6-methyladenosine (m6A) methylation regulated by series enzymes plays an important role in the pathogenesis of metabolic diseases such as obesity, non-alcoholic fatty liver disease (NAFLD), atherosclerosis (AS), and type 2 diabetes (T2D). Therefore, investigating the specific mechanisms of m6A methylation in obesity and related metabolic diseases and its relationship with environmental pollutants is vital for developing treatment and prevention strategies. This article summarizes the latest research on m6A methylation in glucose and lipid metabolism-related diseases and elucidates the specific molecular mechanisms of metabolic disorders regulated by m6A methylation-related enzymes. More importantly, we highlight that m6A methylation process is a target for environmental pollutants in inducing human metabolic diseases. Our review aims to provide new insights into understanding the underlying mechanisms of environmental pollutant-induced metabolic diseases and to explore preventive and therapeutic measures.",2025,[],[]
A glimpse into the pipeline of anti-obesity medication development: combining multiple receptor pathways.,"Obesity has been historically a stubborn chronic metabolic disease, resistant to multiple therapeutic modalities. Although effective in the short-term for some people, lifestyle interventions have proven difficult to maintain in the long-term. Metabolic bariatric surgery is the most effective treatment for durable weight loss and improvement of obesity-related conditions but is invasive and vastly underutilized. For decades, patients and clinicians confronted a wide gap between lifestyle modification and bariatric procedures. Anti-obesity pharmacotherapy was plagued by either safety concerns or very modest effectiveness. Recently, the availability of highly effective medications has given patients living with obesity hope for better health. These advances represent a culmination of many years of scientific progress regarding our understanding of human weight regulation and the beginning of a new era in treating metabolic diseases. In fact, many molecules are under investigation for obesity therapy, some with novel mechanisms. Since data on these putative agents are appearing at accelerated speed, the aim of this review is to provide an updated synopsis of emerging agents, highlighting the correlation between efficacy and combination strategies.",2025,[],[]
Letter to the Editor: Lean-Body Mass-Guided Heparin Dosing: A Pharmacokinetic Imperative,,2025,[],[]
Association between body weight time in target range and risk of type 2 diabetes in adults with obesity,"<title>Abstract</title>  <p>Background Obesity is a major risk factor for type 2 diabetes, emphasizing the need for effective weight management strategies for its prevention and control. This study evaluated the association between body weight time in the target range (TTR) and the risk of type 2 diabetes in adults with obesity. Methods Using the 2010–2022 Korean National Health Insurance Service database, 248,367 obese participants with no history of diabetes were included. Body weight TTR was defined as the proportion of time maintaining a ≥ 3% reduction from baseline body weight. Participants were categorized into body weight TTR groups of 0%, > 0–50%, and > 50–100%. The primary outcome was the incidence of type 2 diabetes. Cox proportional hazards models were used. Results During a median follow-up period of 5.6 years, 46,737 (18.8%) of the 248,367 individuals with obesity developed type 2 diabetes. Compared to individuals with TTR = 0%, those with TTR > 0–50% and > 50–100% exhibited significantly lower risks of type 2 diabetes, with adjusted hazard ratios (aHR) of 0.86 (95% confidence interval [CI]: 0.84–0.88) and 0.66 (95% CI: 0.64–0.67), respectively. A 10% increase in body weight TTR was significantly associated with a decreased risk of type 2 diabetes (aHR: 0.95, 95% CI: 0.95–0.96) after adjusting for covariates. Conclusion In adults with obesity, a higher body weight TTR was significantly associated with a reduced risk of developing type 2 diabetes, highlighting the importance of sustained weight management in reducing the risk of type 2 diabetes.</p>",2025,[],[]
Single-Pill Combination of Perindopril-Indapamide-Amlodipine in Hypertensive Patients with Obesity: Long-Term Efficacy,"<h4>Background: </h4> and Objectives: Treatment of patients with arterial hypertension (H) associated with abdominal obesity (O) is complex and most often requires the use of several antihypertensive agents. The purpose of the work: to evaluate the advantages of the single pill combination (SPC) of perindopril (P), indapamide (I) and amlodipine (A) in comparison with their free combination (FC) in achieving effective control of H for a long time in patients with O. <h4>Materials and Methods:</h4> Seventy five patients (of which 45 men) with uncontrolled H associated with O (age 48-66 years) were examined. Among patients included in the study, 45 received a FC of P, I and A, and 36 - SPC of these drugs. The drugs were used once a day in the following daily doses: P-4-8 mg, I-1.25-2.5 mg and A-5-10 mg. Patients were followed up for 12 months. <h4>Results:</h4> SPC of P,I and A were significantly more effective than FC in hypertensive patients with O. The high efficiency of SPC persisted for a long time (over 12 months) and associated with significantly increased adherence to therapy in comparison with FC. To achieve target BP levels with SPC, lower doses of drugs were required than with FC. <h4>Conclusion:</h4> The single pill combination of P, I and A shows greater efficiency than FC, and makes it possible to maintain BP within the target levels for a long time with lower doses of drugs.",2025,[],[]
Treat to target in weight management with semaglutide: Real-world evidence from an eHealth clinic.,"<h4>Aims</h4>To evaluate the effectiveness of an online multidisciplinary weight loss service combining individualised semaglutide dosing with intensive behavioural therapy (IBT) in adults living with overweight or obesity.<h4>Materials and methods</h4>This retrospective cohort study included data from Danish participants enrolled in a digital weight loss programme via the Embla app between January 2022 and September 2024. The programme offered semaglutide with personalised dosing alongside evidence-based recommendations on nutrition, exercise and habits, delivered through IBT. All data collection and monitoring was conducted via the Embla app. The primary outcome was percentage change in body weight at week 64. Secondary outcomes included semaglutide dose, proportions achieving ≥5%, ≥10%, ≥15%, or ≥20% weight loss, and weight change by baseline BMI and dose.<h4>Results</h4>The study included 2694 participants (78% women, mean age 46.8 ± 10.8 years, mean BMI 34.3 ± 4.8). At weeks 26, 52, and 64, the number of participants that remained in the study was: 1580, 712, and 465. Mean weight loss at week 64 was 16.7% (95% CI: -17.4 to -16.0) with a mean semaglutide dose of 1.08 mg/week (SD 0.54). A total of 98% achieved ≥5% and 82% achieved ≥10% weight loss. Weight change was consistent across BMI classes and medication doses.<h4>Conclusions</h4>Participants achieved clinically meaningful weight loss comparable to that seen in randomised trials, despite using lower semaglutide doses. These findings support the effectiveness of a personalised, treat-to-target approach integrating medical and behavioural obesity management in a digital setting.<h4>Trial registration</h4>https://osf.io/86kmc/.",2025,[],[]
Cardiovascular and kidney outcomes of GLP-1 receptor agonists in adults with obesity: A target trial emulation study.,"<h4>Aims</h4>Glucagon-like peptide-1 receptor agonists (GLP-1RAs) provide cardiovascular and renal benefits in type 2 diabetes, but their real-world effects in individuals with obesity without diabetes are unclear. This study aimed to evaluate the cardiovascular and kidney outcomes of GLP-1RAs versus other anti-obesity medications (AOMs) in adults with obesity.<h4>Materials and methods</h4>This target trial emulation used TriNetX electronic health records (July 2021-May 2025) to identify adults with obesity and no diabetes history who initiated GLP-1RAs (liraglutide, semaglutide, or tirzepatide) or other AOMs. Outcomes included major adverse cardiovascular events (MACE), major adverse kidney events (MAKE), all-cause mortality, mental health conditions, and safety outcomes. Propensity score matching (1:1) balanced baseline characteristics; Cox models estimated hazard ratios (HRs) with 95% confidence intervals (CIs).<h4>Results</h4>The study included 140 169 matched pairs of GLP-1RA and AOM initiators. Mean follow-up was 392 days for GLP-1RA users and 564 days for AOM users. Compared to AOMs, GLP-1RA use was associated with lower risks of MACE (HR, 0.76; 95% CI, 0.72-0.81), MAKE (HR, 0.64; 95% CI, 0.55-0.74), and all-cause mortality (HR, 0.49; 95% CI, 0.42-0.57). Mental health outcomes also improved, with reduced risks of depression (HR, 0.63), suicidal ideation/attempt (HR, 0.42), and substance use disorder (HR, 0.58). GLP-1RAs were not associated with increased risks of acute pancreatitis (HR, 1.17), hypoglycemia (HR, 1.08), or gastrointestinal symptoms (HR, 0.99).<h4>Conclusions</h4>Among adults with obesity but without diabetes, GLP-1RA use was associated with reduced cardiovascular, kidney, mortality, and mental health risks compared to other AOMs.",2025,"['glucagon - like peptide - 1 receptor', 'glp - 1ras', 'g', '##lp - 1ras', 'g', '##lp - 1ras', 'g', '##lp - 1ra', 'g', '##lp - 1ra', 'g', '##lp - 1ra', 'g', '##lp - 1ras', 'g', '##lp - 1ra']",['glucagon like peptide 1 receptor']
Metabolic regulation of obesity by naturally occurring compounds: mechanisms and therapeutic potential.,"The global obesity epidemic continues to escalate, driving demands for safer and more effective therapeutic strategies. This review evaluates the potential of natural bioactive compounds as multi-targeted interventions for obesity management. Plant-derived polyphenols (e.g., epigallocatechin-3-gallate (EGCG), resveratrol), alkaloids (e.g., berberine), and marine carotenoids (e.g., fucoxanthin) demonstrate remarkable capacity to modulate fundamental obesity pathways through (A) suppression of adipogenesis via PPARγ and C/EBPα inhibition, (B) activation of lipolysis through hormone-sensitive lipase (HSL) stimulation and AMPK phosphorylation, (C) enhancement of thermogenesis via UCP1 upregulation, and (D) gut microbiome modulation through SCFA production. Clinical evidence supports the efficacy of selected compounds, with green tea catechins showing 4% to 5% body fat reduction and berberine demonstrating significant metabolic improvements. These natural agents offer distinct advantages over conventional drugs through their pleiotropic mechanisms and favorable safety profiles. However, bioavailability limitations and inter-individual variability present significant challenges. Innovative delivery systems, including nanoencapsulation and phospholipid complexes, show promise to enhance the therapeutic potential. The review highlights emerging strategies combining microbiome modulation with precision nutrition approaches while emphasizing the need for standardized clinical protocols. By bridging ethnopharmacological knowledge with modern scientific validation, natural compounds represent a promising avenue to develop sustainable, multi-targeted anti-obesity therapies that address both physiological and metabolic aspects of this complex disorder.",2025,"['pparγ', 'c / ebpα', 'lipase', 'hsl', 'ampk', 'ucp1', 'scfa']","['pparγ', 'lipase', 'hsl', 'ampk', 'ucp1', 'scfa']"
Gut-liver axis: An emerging target for exercise in obesity management.,"Gut dysbiosis emerged as a potential metabolic dysfunction-associated steatotic liver disease (MASLD) trigger due to leaky gut and LPS leakage (endotoxemia). MASLD attracts attention from the scientific community due to the non-existence of a specific treatment, the intimate connection to obesity, and its multiple triggers. In this context, physical exercise is a relevant non-pharmacological strategy. However, different intensities and periodicities can produce divergent results, and their impact on the gut-liver axis remains unraveled. Therefore, this comprehensive review outlines the contribution of exercise (MICT or HIIT) to modulating the gut-liver axis in experimental obesity models, with a focus on the intestinal barrier and hepatic mitochondrial and endoplasmic reticulum (ER) homeostasis. The effects of both exercise protocols are likely related to restoring tight junctions and improving gut permeability. Ceased endotoxemia alleviates MASLD by targeting the endoplasmic reticulum (ER) and mitochondria, countering disturbances caused by glucolipotoxicity and inflammation, like ER stress and mitochondrial dyshomeostasis. Although HIIT is superior to MICT in enhancing gut structure and microbiota diversity and possibly mitigating MASLD due to reduced adiposity and improved insulin sensitivity, regular exercise should be encouraged to counter the obesity pandemic by modulating the gut-liver axis.",2025,['insulin'],['insulin']
Combined Hyaluronic Acid Nanobioconjugates Impair CD44-Signaling for Effective Treatment Against Obesity: A Review of Comparison with Other Actors.,"CD44, a key hyaluronic acid (HA) receptor, has emerged as a central mediator of adipose tissue inflammation, remodeling, and insulin resistance in obesity. Its overexpression in obese adipose depots promotes leukocyte infiltration, pro-inflammatory signaling, and extracellular matrix dysregulation processes that underlie metabolic dysfunction. This review explores the therapeutic relevance of targeting the HA-CD44 axis by synthesizing data primarily from preclinical studies, with emerging evidence from early clinical investigations. A narrative review methodology was employed to assess and compare therapeutic modalities, highlighting advances in molecular targeting, drug delivery systems, and metabolic interventions. We focus on two primary therapeutic classes: small molecules and nanobioconjugates. Small molecules, such as curcumin, metformin, and CD44 antagonists, offer systemic modulation and accessibility but are limited by their low tissue specificity and potential side effects. In contrast, HA-functionalized nanobioconjugates, including liposomes, PLGA nanoparticles, dendrimers, and exosomes, enable targeted delivery to adipose tissue, prolonged drug release, and reduced systemic toxicity. These nanosystems have demonstrated superior modulation of CD44 signaling, adipose inflammation, and glucose homeostasis in obesity models. Emerging strategies such as monoclonal antibodies, GLP-1 analogs, gene-editing tools (eg, CRISPR/Cas9), microbiome modulators, and brown adipose tissue (BAT) activators are also discussed. A comparative analysis indicates that nanobioconjugates offer the highest targeting precision, while small molecules remain advantageous in terms of cost and ease of administration. However, biologics and gene therapies face challenges related to delivery and scalability. Collectively, current evidence predominantly preclinical supports the HA-CD44 axis as a promising therapeutic target in obesity. Integrated approaches combining nanotechnology with molecular inhibitors and biologics could offer a multifaceted strategy for managing metabolic disease.",2025,"['cd44', 'h', '##yaluronic acid ( ha ) receptor', 'insulin', 'ha', 'cd44', 'cd44', 'cd44', 'glp - 1', 'ca', 'ha', 'cd44']","['cd44', 'insulin', 'glp 1']"
Guizhi fuling decoction inhibits pyroptosis to improve high-fat diet-induced obesity by up-regulating ACE2.,"Obesity has become a global public problem. Guizhi Fuling Decoction (GZFLD) is a traditional Chinese medicine decoction. This study aims to investigate the therapeutic effects of GZFLD on high-fat diet (HFD)-induced obesity in mice. The obese mouse model was induced by HFD. The effects of GZFLD on obesity were assessed by recording body weight (BW) and inguinal white adipose tissue (Ing-WAT) weight of mice. Histological changes in adipose and liver tissues were evaluated by hematoxylin-eosin staining. Enzyme-linked immunosorbent assay was exploited to detect the expression of blood lipid indexes and inflammatory factors. The expression of pyroptosis-related proteins was detected by western blot and immunohistochemistry. Transcriptome sequencing was executed to explore the mechanism of GZFLD on obese mice and screen the pyroptosis-related genes. Furthermore, the effect of Angiotensin-converting enzyme 2 (ACE2) on obese mice was verified by ACE2 inhibitor-DX600. In HFD-induced mice, with the increased dose of GZFLD, GZFLD significantly improved obesity, hepatic steatosis and dyslipidemia, with decreased BW, Ing-WAT weight, Ing-WAT/BW ratio, levels of triglycerides, cholesterol low-density lipoprotein, and increased high-density lipoprotein levels. Hematoxylin-eosin staining exhibited that GZFLD improved steatosis and adipocyte enlargement induced by HFD. Additionally, GZFLD suppressed the levels of lactate dehydrogenase, inflammation factors, and pyroptosis-related proteins. RNA-sequencing identified ACE2 as a key gene target. The ACE2 inhibitor DX600 attenuated the inhibitory effects of GZFLD on hepatic steatosis, dyslipidemia, inflammation, and pyroptosis in HFD-induced obese mice. Collectively, GZFLD had a protective effect on HFD-induced obesity by alleviating dyslipidemia, and inhibiting inflammation and pyroptosis, which was achieved by up-regulating ACE2.<h4>Supplementary information</h4>The online version contains supplementary material available at 10.1007/s10616-025-00848-x.",2025,"['hem', '##atoxylin', 'eosin', 'g', '##fld', 'angiotensin - converting enzyme 2', 'ace2', 'ace2', 'g', '##fld', 'g', 'cholesterol low - density lipoprotein', 'high - density lipoprotein', 'hem', '##atoxylin -', 'eosin', '##f', 'g', '##fld', 'lactate dehydrogenase', 'ace2', 'ace2', 'g', '##fld', 'gzfld']","['hem', 'eosin', 'angiotensin converting enzyme 2', 'ace2', 'high density lipoprotein', 'lactate dehydrogenase']"
